,as_of_year,respondent_id,agency_name,agency_abbr,agency_code,loan_type_name,loan_type,property_type_name,property_type,loan_purpose_name,loan_purpose,owner_occupancy_name,owner_occupancy,loan_amount_000s,preapproval_name,preapproval,action_taken_name,action_taken,msamd_name,msamd,state_name,state_abbr,state_code,county_name,county_code,census_tract_number,applicant_ethnicity_name,applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_ethnicity,applicant_race_name_1,applicant_race_1,applicant_race_name_2,applicant_race_2,applicant_race_name_3,applicant_race_3,applicant_race_name_4,applicant_race_4,applicant_race_name_5,applicant_race_5,co_applicant_race_name_1,co_applicant_race_1,co_applicant_race_name_2,co_applicant_race_2,co_applicant_race_name_3,co_applicant_race_3,co_applicant_race_name_4,co_applicant_race_4,co_applicant_race_name_5,co_applicant_race_5,applicant_sex_name,applicant_sex,co_applicant_sex_name,co_applicant_sex,applicant_income_000s,purchaser_type_name,purchaser_type,denial_reason_name_1,denial_reason_1,denial_reason_name_2,denial_reason_2,denial_reason_name_3,denial_reason_3,rate_spread,hoepa_status_name,hoepa_status,lien_status_name,lien_status,edit_status_name,edit_status,sequence_number,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,application_date_indicator,overall_approval_rate
149,2017,7162800002,Department of Housing and Urban Development,HUD,7,Conventional,1,Manufactured housing,2,Home purchase,1,Not owner-occupied as a principal dwelling,2,27.0,Not applicable,3,Loan originated,1,"Lakeland, Winter Haven - FL",29460.0,Florida,FL,12.0,Polk County,105.0,115.01,Not Hispanic or Latino,2,No co-applicant,5,Native Hawaiian or Other Pacific Islander,4,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,25.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5921.0,31.479999542236328,52500.0,64.70999908447266,1125.0,2260.0,,0.7940541042938857
150,2017,23-2769131,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,338.0,Not applicable,3,Application denied by financial institution,3,"Sacramento, Roseville, Arden-Arcade - CA",40900.0,California,CA,6.0,Sacramento County,67.0,61.01,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,71.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4824.0,37.22999954223633,75200.0,57.41999816894531,818.0,1626.0,,0.7940541042938857
151,2017,0000504713,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,32.0,Not applicable,3,Application withdrawn by applicant,4,"Kansas City - MO, KS",28140.0,Missouri,MO,29.0,Jackson County,95.0,91.0,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,75.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a subordinate lien,2,,,,3872.0,19.520000457763672,74600.0,132.82000732421875,1372.0,1885.0,,0.7940541042938857
152,2017,0000704167,Office of the Comptroller of the Currency,OCC,1,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,218.0,Not applicable,3,Application withdrawn by applicant,4,"Worcester - MA, CT",49340.0,Massachusetts,MA,25.0,Worcester County,27.0,7501.0,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,62.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6147.0,12.119999885559082,84000.0,94.48999786376952,1224.0,1980.0,,0.7940541042938857
153,2017,7197000003,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,400.0,Not applicable,3,Application denied by financial institution,3,"Atlanta, Sandy Springs, Roswell - GA",12060.0,Georgia,GA,13.0,Fulton County,121.0,116.24,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,125.0,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4.0,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4301.0,30.200000762939453,69200.0,244.6000061035156,1136.0,1199.0,,0.7940541042938857
154,2017,0000011807,Federal Deposit Insurance Corporation,FDIC,3,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,97.0,Not applicable,3,Loan originated,1,,,Michigan,MI,26.0,Allegan County,5.0,313.0,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,108.0,Freddie Mac (FHLMC),3,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4917.0,11.510000228881836,55800.0,116.22000122070312,1485.0,1861.0,,0.7940541042938857
155,2017,20-8745846,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,82.0,Not applicable,3,Application withdrawn by applicant,4,"Lakeland, Winter Haven - FL",29460.0,Florida,FL,12.0,Polk County,105.0,115.01,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,65.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5921.0,31.479999542236328,52500.0,64.70999908447266,1125.0,2260.0,,0.7940541042938857
156,2017,0000451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,319.0,Not applicable,3,Application denied by financial institution,3,,,Utah,UT,49.0,Sevier County,41.0,9754.0,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,111.0,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1.0,Collateral,4.0,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3466.0,10.06999969482422,67700.0,86.4000015258789,710.0,1185.0,,0.7940541042938857
157,2017,62-0997810,Department of Housing and Urban Development,HUD,7,Conventional,1,Manufactured housing,2,Home purchase,1,Owner-occupied as a principal dwelling,1,97.0,Not applicable,3,Loan originated,1,"San Antonio, New Braunfels - TX",41700.0,Texas,TX,48.0,Wilson County,493.0,3.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,99.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,6.4,Not a HOEPA loan,2,Secured by a first lien,1,,,,5751.0,63.34999847412109,64300.0,108.63999938964844,1398.0,2151.0,,0.7940541042938857
158,2017,46-2749358,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,145.0,Not applicable,3,Application withdrawn by applicant,4,"Tampa, St. Petersburg, Clearwater - FL",45300.0,Florida,FL,12.0,Pinellas County,103.0,246.01,Not Hispanic or Latino,2,No co-applicant,5,Asian,2,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,46.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3610.0,22.850000381469727,59800.0,95.86000061035156,923.0,1745.0,,0.7940541042938857
159,2017,01-0726495,Department of Housing and Urban Development,HUD,7,Conventional,1,Manufactured housing,2,Refinancing,3,Owner-occupied as a principal dwelling,1,53.0,Not applicable,3,Application withdrawn by applicant,4,,,New Mexico,NM,35.0,Eddy County,15.0,7.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,42.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5672.0,39.09000015258789,52300.0,159.61000061035156,1759.0,2267.0,,0.7940541042938857
160,2017,47-0912342,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,85.0,Not applicable,3,Application withdrawn by applicant,4,"St. Louis - MO, IL",41180.0,Missouri,MO,29.0,St. Louis County,189.0,2108.04,Not Hispanic or Latino,2,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,37.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,9786.0,87.36000061035156,74300.0,100.75,2517.0,3325.0,,0.7940541042938857
161,2017,0000025103,Federal Deposit Insurance Corporation,FDIC,3,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,175.0,Not applicable,3,Loan originated,1,El Paso - TX,21340.0,Texas,TX,48.0,El Paso County,141.0,102.14,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Female,2,66.0,"Life insurance company, credit union, mortgage bank, or finance company",7,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6225.0,62.86000061035156,45300.0,279.7200012207031,1575.0,2041.0,,0.7940541042938857
162,2017,75-2921540,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,123.0,Not applicable,3,File closed for incompleteness,5,"Orlando, Kissimmee, Sanford - FL",36740.0,Florida,FL,12.0,Osceola County,97.0,429.0,Hispanic or Latino,1,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,97.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,17107.0,70.05000305175781,58400.0,73.94000244140625,2546.0,4722.0,,0.7940541042938857
163,2017,42-1739728,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,189.0,Not applicable,3,Application denied by financial institution,3,"Miami, Miami Beach, Kendall - FL",33124.0,Florida,FL,12.0,Miami-Dade County,86.0,143.0,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,26.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3711.0,94.63999938964844,51800.0,145.41000366210938,863.0,975.0,,0.7940541042938857
164,2017,54-1994393,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,220.0,Not applicable,3,Application denied by financial institution,3,"Worcester - MA, CT",49340.0,Massachusetts,MA,25.0,Worcester County,27.0,7501.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,72.0,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1.0,Credit history,3.0,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6147.0,12.119999885559082,84000.0,94.48999786376952,1224.0,1980.0,,0.7940541042938857
165,2017,0000542649,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,156.0,Not applicable,3,Loan originated,1,Flint - MI,22420.0,Michigan,MI,26.0,Genesee County,49.0,105.03,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,530.0,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2235.0,8.140000343322754,53700.0,113.7699966430664,766.0,915.0,,0.7940541042938857
166,2017,0000023521,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,15.0,Not applicable,3,Application withdrawn by applicant,4,"New York, Jersey City, White Plains - NY, NJ",35614.0,New York,NY,36.0,Kings County,47.0,1502.0,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,60.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a subordinate lien,2,,,,2946.0,35.34000015258789,73700.0,157.97000122070312,542.0,908.0,,0.7940541042938857
167,2017,2148900000,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,156.0,Not applicable,3,Loan originated,1,"Warren, Troy, Farmington Hills - MI",47664.0,Michigan,MI,26.0,Macomb County,99.0,2180.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,74.0,"Commercial bank, savings bank or savings association",6,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,7618.0,26.56999969482422,79600.0,72.16000366210938,1565.0,2179.0,,0.7940541042938857
168,2017,7197000003,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,112.0,Preapproval was not requested,2,Loan originated,1,"St. Louis - MO, IL",41180.0,Missouri,MO,29.0,St. Louis County,189.0,2109.24,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,82.0,Freddie Mac (FHLMC),3,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4927.0,65.9000015258789,74300.0,88.6500015258789,1145.0,1543.0,,0.7940541042938857
169,2017,23-2769131,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,386.0,Preapproval was not requested,2,Loan originated,1,"Riverside, San Bernardino, Ontario - CA",40140.0,California,CA,6.0,Riverside County,65.0,430.07,Hispanic or Latino,1,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,72.0,Ginnie Mae (GNMA),2,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6855.0,42.29999923706055,63200.0,134.47999572753906,1836.0,2262.0,,0.7940541042938857
170,2017,26-4599244,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,562.0,Not applicable,3,Application denied by financial institution,3,"Washington, Arlington, Alexandria - DC, VA, MD, WV",47894.0,Virginia,VA,51.0,Arlington County,13.0,1002.0,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,103.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6848.0,13.899999618530272,107600.0,191.5800018310547,1941.0,2216.0,,0.7940541042938857
171,2017,0000066742,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,77.0,Not applicable,3,Loan originated,1,"Minneapolis, St. Paul, Bloomington - MN, WI",33460.0,Wisconsin,WI,55.0,Pierce County,93.0,9601.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,62.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2970.0,2.390000104904175,89800.0,78.94000244140625,912.0,1155.0,,0.7940541042938857
172,2017,0000066642,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,11.0,Not applicable,3,Loan originated,1,Appleton - WI,11540.0,Wisconsin,WI,55.0,Calumet County,15.0,203.08,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,45.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Not secured by a lien,3,,,,3834.0,2.369999885559082,74700.0,129.47000122070312,1151.0,1268.0,,0.7940541042938857
173,2017,20-1832276,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,46.0,Not applicable,3,Application denied by financial institution,3,Columbus - OH,18140.0,Ohio,OH,39.0,Fairfield County,45.0,302.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,13.0,Loan was not originated or was not sold in calendar year covered by register,0,Collateral,4.0,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3118.0,3.369999885559082,73900.0,95.0,822.0,1134.0,,0.7940541042938857
174,2017,0000075633,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,99.0,Preapproval was not requested,2,Application denied by financial institution,3,Eau Claire - WI,20740.0,Wisconsin,WI,55.0,Chippewa County,17.0,103.0,Not Hispanic or Latino,2,No co-applicant,5,Asian,2,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,86.0,Loan was not originated or was not sold in calendar year covered by register,0,"Insufficient cash (downpayment, closing costs)",5.0,Other,9.0,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6077.0,4.440000057220459,67400.0,98.76000213623048,1692.0,2162.0,,0.7940541042938857
175,2017,0000852218,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,106.0,Not applicable,3,Application withdrawn by applicant,4,"Cleveland, Elyria - OH",17460.0,Ohio,OH,39.0,Cuyahoga County,35.0,1701.01,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,56.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2722.0,23.030000686645508,67900.0,113.86000061035156,978.0,1142.0,,0.7940541042938857
176,2017,80-0233937,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,424.0,Not applicable,3,Loan originated,1,Fresno - CA,23420.0,California,CA,6.0,Fresno County,19.0,14.09,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,143.0,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2063.0,61.95000076293945,50000.0,193.2100067138672,447.0,668.0,,0.7940541042938857
177,2017,0000028670,Federal Deposit Insurance Corporation,FDIC,3,FSA/RHS-guaranteed,4,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,154.0,Not applicable,3,Application withdrawn by applicant,4,,,Missouri,MO,29.0,Taney County,213.0,4803.01,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,62.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5262.0,9.270000457763672,50800.0,119.43000030517578,1503.0,2269.0,,0.7940541042938857
178,2017,33-0419992,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,331.0,Not applicable,3,Application denied by financial institution,3,"Oakland, Hayward, Berkeley - CA",36084.0,California,CA,6.0,Alameda County,1.0,4097.0,Hispanic or Latino,1,Hispanic or Latino,1,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,60.0,Loan was not originated or was not sold in calendar year covered by register,0,Other,9.0,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5431.0,97.80999755859376,97400.0,43.119998931884766,608.0,1393.0,,0.7940541042938857
179,2017,0000035568,Federal Deposit Insurance Corporation,FDIC,3,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Not owner-occupied as a principal dwelling,2,115.0,Not applicable,3,Loan originated,1,,,Kentucky,KY,21.0,Simpson County,213.0,9703.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,101.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4876.0,21.290000915527344,47800.0,124.01000213623048,1188.0,2012.0,,0.7940541042938857
180,2017,0003303298,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,705.0,Not applicable,3,Loan originated,1,"New York, Jersey City, White Plains - NY, NJ",35614.0,New York,NY,36.0,New York County,61.0,146.02,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,462.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,7748.0,16.329999923706055,73700.0,291.7699890136719,1232.0,78.0,,0.7940541042938857
181,2017,0000022394,Federal Deposit Insurance Corporation,FDIC,3,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,75.0,Not applicable,3,Loan originated,1,,,Missouri,MO,29.0,Iron County,93.0,9504.0,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,84.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,1.66,Not a HOEPA loan,2,Secured by a first lien,1,,,,2131.0,9.899999618530272,50800.0,72.83999633789062,593.0,1198.0,,0.7940541042938857
182,2017,0000022874,Federal Deposit Insurance Corporation,FDIC,3,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,133.0,Not applicable,3,Loan originated,1,"Champaign, Urbana - IL",16580.0,Illinois,IL,17.0,Champaign County,19.0,57.01,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,45.0,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4477.0,32.209999084472656,69500.0,105.5500030517578,1251.0,1721.0,,0.7940541042938857
183,2017,0000019581,Federal Deposit Insurance Corporation,FDIC,3,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,235.0,Not applicable,3,Loan originated,1,"Minneapolis, St. Paul, Bloomington - MN, WI",33460.0,Minnesota,MN,27.0,Dakota County,37.0,603.02,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,78.0,Other type of purchaser,9,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3561.0,13.0600004196167,89800.0,87.41000366210938,914.0,1126.0,,0.7940541042938857
184,2017,0000451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,330.0,Not applicable,3,Loan purchased by the institution,6,"Dallas, Plano, Irving - TX",19124.0,Texas,TX,48.0,Dallas County,113.0,78.09,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,185.0,Freddie Mac (FHLMC),3,,,,,,,,Not a HOEPA loan,2,Not applicable,4,,,,2271.0,32.79999923706055,73400.0,107.5999984741211,577.0,785.0,,0.7940541042938857
185,2017,0000504713,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,107.0,Not applicable,3,Loan purchased by the institution,6,Lincoln - NE,30700.0,Nebraska,NE,31.0,Lancaster County,109.0,25.0,Not applicable,4,Not applicable,4,Not applicable,7,,,,,,,,,Not applicable,7,,,,,,,,,Not applicable,4,Not applicable,4,,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Not applicable,4,,,,5669.0,9.210000038146973,72000.0,99.43000030517578,1912.0,2276.0,,0.7940541042938857
186,2017,0000024326,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,324.0,Preapproval was not requested,2,Loan originated,1,"Oakland, Hayward, Berkeley - CA",36084.0,California,CA,6.0,Alameda County,1.0,4104.0,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,82.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4344.0,93.5999984741211,97400.0,69.61000061035156,903.0,1316.0,,0.7940541042938857
